,T2,RRR,PE,HBV_snowpack,HBV_soil_moisture,HBV_AET,HBV_upper_gw,HBV_lower_gw,Q_HBV,DDM_smb,DDM_accumulation_rate,DDM_ice_melt_rate,DDM_snow_melt_rate,DDM_total_melt,Q_DDM,Qobs,Q_Total
count,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,832.0,2922.0
mean,-7.229671405995031,1.7015038900877988,0.24631352115822688,64.90724460707443,195.92368368632313,0.26576948441054765,12.797571672005457,10.505056952725154,1.1839312611500392,-0.2323992884376065,1.165059139187634,0.25957267779465626,1.1378857498305843,1.3974584276252409,1.3974584276252409,8.207578076808861,2.5813896887752823
std,7.552272204298205,3.187907310005835,0.33107265102796873,49.90540252264798,8.967133544850778,0.37565648741298624,25.981358965296742,13.401966139643632,1.9263287027841078,4.497826259332662,2.706676487686425,1.9294117688932713,2.7067696888035777,3.267771138316399,3.267771138316399,5.281606328086838,4.7644530722785445
min,-26.393707088830098,0.0,0.0,0.0,172.67597767722287,0.0,0.0,1.9846289818437956e-06,8.874922417284652e-08,-25.009055762197587,0.0,0.0,0.0,0.0,0.0,0.0,8.874922417284652e-08
25%,-14.0533298033497,0.0095367431640625,0.0,27.951490879058838,189.42724865500102,0.0,0.0,0.05320895783157715,0.0022454063371444588,0.0,0.00095367431640625,0.0,0.0,0.0,0.0,3.9261063261063254,0.0024326317459604386
50%,-6.326482522633187,0.21314620971679688,0.0,58.28254222869873,194.14423813616807,0.0,0.0,1.9531350105480108,0.08372371489619071,0.02193450927734375,0.05698204040527344,0.0,0.0,0.0,0.0,7.56994356994357,0.09258033350396637
75%,-0.0733059384435002,1.8811225891113281,0.5446755473976257,96.5461015701294,199.5586493119561,0.5291416854976234,8.038859253722693,23.026144056466087,1.6377692922528826,0.5660057067871094,0.8964054830215051,0.0,0.0,0.0,0.0,11.496049896049895,2.4064239906628053
max,6.873894854728611,26.45587921142578,1.3127302200895934,219.8334693908691,222.60620152906628,2.130543423244426,125.05867368967142,35.724330862079746,8.601169783350674,28.74279022216797,28.74279022216797,25.009055762197587,19.152587471756345,25.009055762197587,25.009055762197587,31.25488565488565,29.73369662745686
sum,-21125.09984831748,4971.794366836548,719.728108824339,189658.96874187147,572489.0037314362,776.5784334476202,37394.504425599946,30695.7764158629,3459.4471450804144,-679.0707208146862,3404.302804706266,758.4713645159857,3324.9021610049676,4083.3735255209535,4083.3735255209535,6828.704959904973,7542.820670601375
