,T2,RRR,PE,HBV_snowpack,HBV_soil_moisture,HBV_AET,HBV_upper_gw,HBV_lower_gw,Q_HBV,DDM_smb,DDM_accumulation_rate,DDM_ice_melt_rate,DDM_snow_melt_rate,DDM_total_melt,Q_DDM,Qobs,Q_Total,Q_COSIPY
count,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,832.0,2922.0,2922.0
mean,265.92032859400433,1.7015038900877988,0.24631352115822716,64.90724460707447,195.9236836863231,0.26576948441054726,12.797571672005455,10.505056952725164,1.1839312611500394,-0.23239928843757926,1.1650591391876377,0.25957267779462956,1.1378857498305877,1.3974584276252173,1.3974584276252173,8.207578076808861,2.5813896887752557,2.8686287809848507
std,7.552272204298202,3.187907310005835,0.3310726510279685,49.90540252264799,8.96713354485079,0.37565648741298624,25.981358965296753,13.401966139643635,1.9263287027841076,4.497826259332603,2.706676487686429,1.9294117688930856,2.7067696888035826,3.2677711383163115,3.2677711383163115,5.281606328086838,4.764453072278474,5.584796008358875
min,246.75629291116988,0.0,0.0,0.0,172.67597767722276,0.0,0.0,1.9846289818437956e-06,8.874922417284652e-08,-25.00905576219761,0.0,0.0,0.0,0.0,0.0,0.0,8.874922417284652e-08,0.0
25%,259.0966701966503,0.0095367431640625,0.0,27.951490879058838,189.42724865500097,0.0,0.0,0.05320895783157715,0.0022454063371444588,0.0,0.00095367431640625,0.0,0.0,0.0,0.0,3.9261063261063254,0.0024326317459604303,0.0
50%,266.8235174773668,0.21314620971679688,0.0,58.28254222869873,194.1442381361683,0.0,0.0,1.9531350105480119,0.08372371489619543,0.02193450927734375,0.05698204040527344,0.0,0.0,0.0,0.0,7.56994356994357,0.09258033350396666,0.0
75%,273.0766940615565,1.8811225891113281,0.5446755473976261,96.5461015701294,199.5586493119562,0.5291416854976237,8.038859253721984,23.026144056466176,1.6377692922529374,0.5660057067871094,0.8964054830215091,0.0,0.0,0.0,0.0,11.496049896049895,2.4064239906628035,2.0574960946132688
max,280.02389485472855,26.45587921142578,1.3127302200895896,219.83346939086914,222.60620152906628,2.130543423244418,125.05867368967183,35.724330862079746,8.601169783350656,28.74279022216797,28.74279022216797,25.00905576219761,19.152587471756306,25.00905576219761,25.00905576219761,31.25488565488565,29.733696627456894,31.12394962869365
sum,777019.2001516806,4971.794366836548,719.7281088243398,189658.96874187162,572489.0037314361,776.5784334476191,37394.50442559994,30695.77641586293,3459.4471450804153,-679.0707208146066,3404.302804706277,758.4713645159076,3324.902161004977,4083.3735255208853,4083.3735255208853,6828.704959904973,7542.820670601297,8382.133298037734
