,Q_Total,DDM_total_melt,Qobs,DDM_smb,Q_COSIPY,COSIPY_smb,COSIPY_melt
count,2922.0,2922.0,832.0,2922.0,2922.0,2922.0,2922.0
mean,2.5813896887752557,1.3974584276252173,8.207578076808861,-0.23239928843757926,2.8686287809848507,-1.8021638852249078,0.12716883081935187
std,4.764453072278474,3.2677711383163115,5.281606328086838,4.497826259332603,5.584796008358875,5.6234489131749585,0.2194953541628331
min,8.874922417284652e-08,0.0,0.0,-25.00905576219761,0.0,-23.13235472964535,7.768773393255765e-07
25%,0.0024326317459604303,0.0,3.9261063261063254,0.0,0.0,-1.8509875677673415,1.7841611850491666e-06
50%,0.09258033350396666,0.0,7.56994356994357,0.02193450927734375,0.0,0.0017739313705952776,0.0006289200478318679
75%,2.4064239906628035,0.0,11.496049896049895,0.5660057067871094,2.0574960946132688,0.1392425690195127,0.17230430709322084
max,29.733696627456894,25.00905576219761,31.25488565488565,28.74279022216797,31.12394962869365,27.646281752856794,0.9668517932667047
sum,7542.820670601297,4083.3735255208853,6828.704959904973,-679.0707208146066,8382.133298037734,-5265.92287262718,371.5873236541462
